District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio, Affordability ,Strike
LOS ANGELES UNIFIED,California,633621,0.21,0.14,22.56,0.991,0.27,1
SAN DIEGO UNIFIED,California,128040,0.2,0.14,22.83,1.017,0.27,0
LONG BEACH UNIFIED,California,76428,0.2,0.13,25.98,1.066,0.22,0
FRESNO UNIFIED,California,73356,0.21,0.11,23.17,1.028,0.15,0
ELK GROVE UNIFIED,California,63061,0.17,0.12,22.79,1.048,0.16,0
SAN FRANCISCO UNIFIED,California,60133,0.25,0.12,21.27,1.098,0.51,0
SANTA ANA UNIFIED,California,54505,0.38,0.12,25.13,0.989,0.24,0
CAPISTRANO UNIFIED,California,53613,0.09,0.11,26.75,0.942,0.25,0
CORONA-NORCO UNIFIED,California,53157,0.14,0.13,25.37,0.97,0.14,0
SAN BERNARDINO CITY UNIFIED,California,53152,0.26,0.12,24.41,1.052,0.16,0
OAKLAND UNIFIED,California,49760,0.24,0.13,20.48,0.983,0.44,1
SAN JUAN UNIFIED,California,49255,0.11,0.13,24.51,0.99,0.17,0
SACRAMENTO CITY UNIFIED,California,46815,0.19,0.14,23.18,0.996,0.18,0
GARDEN GROVE UNIFIED,California,44223,0.39,0.12,24.12,0.948,0.23,0
RIVERSIDE UNIFIED,California,42769,0.17,0.12,24.6,0.944,0.15,0
CLOVIS UNIFIED,California,42746,0.06,0.09,25.55,1.126,0.16,0
SWEETWATER UNION HIGH,California,40671,0.22,0.13,23.55,0.979,0.25,0
FONTANA UNIFIED,California,38014,0.31,0.13,23.21,0.933,0.16,0
POWAY UNIFIED,California,35956,0.12,0.12,25.01,1.047,0.28,0
FREMONT UNIFIED,California,35171,0.16,0.1,24.5,0.942,0.31,0
MORENO VALLEY UNIFIED,California,33408,0.21,0.14,24.92,0.975,0.16,0
IRVINE UNIFIED,California,33381,0.19,0.09,27.2,1.412,0.27,0
SAN RAMON VALLEY UNIFIED,California,32425,0.05,0.09,24.06,1.038,0.36,0
SAN JOSE UNIFIED,California,32004,0.2,0.12,22.66,0.906,0.4,0
TWIN RIVERS UNIFIED,California,31979,0.23,0.14,23.89,1.013,0.17,0
MT. DIABLO UNIFIED,California,31814,0.23,0.13,22.24,1.012,0.36,0
WEST CONTRA COSTA UNIFIED,California,31267,0.31,0.14,23.27,1.284,0.39,0
ANAHEIM UNION HIGH,California,30964,0.21,0.12,26.04,0.996,0.24,0
LODI UNIFIED,California,30797,0.24,0.14,22.76,1.006,0.16,0
CHULA VISTA ELEMENTARY,California,30053,0.34,0.13,22.96,1.03,0.28,0
TEMECULA VALLEY UNIFIED,California,29917,0.06,0.13,24.63,0.96,0.16,0
DESERT SANDS UNIFIED,California,28958,0.24,0.11,24.95,0.99,0.15,0
VISALIA UNIFIED,California,28932,0.14,0.1,24.97,1.002,0.14,0
ORANGE UNIFIED,California,28522,0.24,0.12,24.72,0.971,0.27,0
SADDLEBACK VALLEY UNIFIED,California,27803,0.17,0.13,25.84,1.005,0.27,0
MONTEBELLO UNIFIED,California,27398,0.33,0.13,26.81,1.015,0.22,0
EAST SIDE UNION HIGH,California,27049,0.14,0.11,23.22,1.015,0.34,0
WILLIAM S. HART UNION HIGH,California,26822,0.08,0.13,23.11,0.998,0.25,0
GLENDALE UNIFIED,California,26075,0.23,0.1,24.82,0.953,0.24,0
PLACENTIA-YORBA LINDA UNIFIED,California,25798,0.16,0.11,26.24,0.974,0.26,0
RIALTO UNIFIED,California,25684,0.28,0.13,24.66,0.945,0.17,0
VISTA UNIFIED,California,25149,0.18,0.13,22.11,0.97,0.28,0
POMONA UNIFIED,California,24314,0.28,0.12,22.07,0.977,0.25,0
TUSTIN UNIFIED,California,24130,0.19,0.09,27.29,0.973,0.26,0
ANTELOPE VALLEY UNION HIGH,California,23905,0.09,0.15,23.08,1.007,0.25,0
HESPERIA UNIFIED,California,23844,0.18,0.12,24.04,0.952,0.17,0
TORRANCE UNIFIED,California,23696,0.16,0.12,25.04,1.112,0.25,0
COMPTON UNIFIED,California,23452,0.34,0.12,25.67,0.988,0.24,0
MANTECA UNIFIED,California,23441,0.24,0.15,24.38,1.021,0.15,0
PALM SPRINGS UNIFIED,California,23087,0.33,0.11,24.23,1.024,0.16,0
MURRIETA VALLEY UNIFIED,California,22978,0.06,0.14,26.47,0.938,0.16,0
HAYWARD UNIFIED,California,22922,0.28,0.11,23.91,1.039,0.31,0
COLTON JOINT UNIFIED,California,22774,0.23,0.12,22.5,1.003,0.17,0
PALMDALE ELEMENTARY,California,22412,0.23,0.13,24.84,1.058,0.24,0
DOWNEY UNIFIED,California,22303,0.15,0.14,25.01,1.039,0.21,0
LAKE ELSINORE UNIFIED,California,22039,0.16,0.13,23.69,0.947,0.16,0
HEMET UNIFIED,California,21710,0.13,0.15,22.87,1.12,0.17,0
GROSSMONT UNION HIGH,California,21709,0.09,0.14,24.48,1.028,0.26,0
FAIRFIELD-SUISUN UNIFIED,California,21607,0.14,0.13,25.03,0.942,0.23,0
NEWPORT-MESA UNIFIED,California,21581,0.24,0.11,24.67,1.021,0.24,0
REDLANDS UNIFIED,California,21395,0.09,0.13,24.32,0.887,0.16,0
SAN MARCOS UNIFIED,California,20970,0.17,0.13,24.65,1.124,0.28,0
MADERA UNIFIED,California,20779,0.29,0.1,24.85,0.969,0.15,0
ABC UNIFIED,California,20768,0.21,0.1,25.15,1.005,0.24,0
FOLSOM-CORDOVA UNIFIED,California,20312,0.11,0.13,23.26,1.025,0.17,0
VAL VERDE UNIFIED,California,19953,0.21,0.11,25.32,1.156,0.17,0
ALVORD UNIFIED,California,19255,0.37,0.12,24.1,1.001,0.15,0
JURUPA UNIFIED,California,19194,0.33,0.12,23.06,0.96,0.15,0
CONEJO VALLEY UNIFIED,California,18918,0.1,0.1,23.25,0.931,0.25,0
HACIENDA LA PUENTE UNIFIED,California,18883,0.2,0.1,23.82,0.968,0.23,0
COACHELLA VALLEY UNIFIED,California,18719,0.5,0.11,22.2,1.061,0.15,0
ANAHEIM ELEMENTARY,California,18558,0.58,0.13,26.11,1.029,0.25,0
PASADENA UNIFIED,California,18410,0.17,0.14,26.11,1.102,0.27,0
NORWALK-LA MIRADA UNIFIED,California,18374,0.18,0.13,24.84,1.035,0.23,0
NAPA VALLEY UNIFIED,California,18224,0.23,0.12,22.43,1.044,0.24,0
BALDWIN PARK UNIFIED,California,17733,0.19,0.13,21.67,0.95,0.21,0
OXNARD UNION HIGH,California,17401,0.15,0.11,26.15,1.133,0.23,0
ANTIOCH UNIFIED,California,17326,0.19,0.15,24.46,1.218,0.35,0
SIMI VALLEY UNIFIED,California,17149,0.11,0.13,25.39,1.011,0.27,0
ALHAMBRA UNIFIED,California,17071,0.22,0.09,25.38,0.987,0.23,0
VENTURA UNIFIED,California,16981,0.17,0.11,24.61,0.98,0.27,0
TRACY JOINT UNIFIED,California,16426,0.26,0.12,23.38,0.944,0.15,0
HUNTINGTON BEACH UNION HIGH,California,16140,0.09,0.11,25.6,0.968,0.24,0
BURBANK UNIFIED,California,16104,0.11,0.12,24.1,0.952,0.25,0
CENTRAL UNIFIED,California,15772,0.12,0.1,24.6,0.985,0.16,0
SANTA CLARA UNIFIED,California,15409,0.25,0.14,23.36,0.935,0.28,0
PARAMOUNT UNIFIED,California,15405,0.35,0.11,24.36,0.942,0.23,0
LANCASTER ELEMENTARY,California,15213,0.17,0.14,24.78,0.992,0.24,0
SANTA BARBARA UNIFIED,California,15185,0.24,0.13,25.15,1.079,0.3,0
SALINAS UNION HIGH,California,15040,0.25,0.1,23.78,0.965,0.22,0
PLEASANTON UNIFIED,California,14778,0.1,0.09,24.27,0.899,0.3,0
NATOMAS UNIFIED,California,14631,0.13,0.11,21.78,0.982,0.19,0
VALLEJO CITY UNIFIED,California,14554,0.18,0.11,24.79,0.957,0.24,0
WALNUT VALLEY UNIFIED,California,14519,0.12,0.08,25.29,1.041,0.24,0
CERES UNIFIED,California,14507,0.28,0.1,23.55,1.102,0.16,0
LYNWOOD UNIFIED,California,14497,0.34,0.12,23.78,1.057,0.25,0
APPLE VALLEY UNIFIED,California,14370,0.1,0.13,24.09,0.924,0.17,0
PORTERVILLE UNIFIED,California,14368,0.28,0.06,24.88,0.978,0.12,0
ROWLAND UNIFIED,California,14274,0.26,0.1,24.47,1.027,0.23,0
TURLOCK UNIFIED,California,14201,0.27,0.11,23.52,0.956,0.15,0
LIVERMORE VALLEY JOINT UNIFIED,California,14016,0.12,0.13,23.12,0.953,0.35,0
ETIWANDA ELEMENTARY,California,13992,0.09,0.15,25.64,0.93,0.17,0
FULLERTON JOINT UNION HIGH,California,13983,0.1,0.09,29.71,0.959,0.23,0
CHICO UNIFIED,California,13975,0.07,0.13,22.85,0.928,0.17,0
FULLERTON ELEMENTARY,California,13363,0.28,0.11,27.66,0.965,0.25,0
ROCKLIN UNIFIED,California,13253,0.03,0.11,22.77,0.942,0.17,0
VACAVILLE UNIFIED,California,12952,0.09,0.12,23.21,0.979,0.24,0
SAN DIEGUITO UNION HIGH,California,12951,0.04,0.1,25.01,1.415,0.21,0
WEST COVINA UNIFIED,California,12825,0.07,0.1,22.16,0.948,0.26,0
VICTOR ELEMENTARY,California,12751,0.18,0.12,26.26,0.967,0.16,0
INGLEWOOD UNIFIED,California,12570,0.26,0.16,23.84,0.946,0.27,0
BELLFLOWER UNIFIED,California,12297,0.21,0.13,22.85,1.102,0.24,0
PALO ALTO UNIFIED,California,12287,0.12,0.09,16.98,0.993,0.28,0
WHITTIER UNION HIGH,California,12120,0.09,0.12,25.89,1.095,0.21,0
GILROY UNIFIED,California,11959,0.21,0.13,25.22,1.026,0.4,0
COVINA-VALLEY UNIFIED,California,11910,0.1,0.14,23.76,1.097,0.23,0
NEW HAVEN UNIFIED,California,11893,0.23,0.1,24.53,0.852,0.29,1
EVERGREEN ELEMENTARY,California,11794,0.23,0.1,27.83,0.947,0.32,0
SAN LORENZO UNIFIED,California,11739,0.26,0.11,22.7,1.02,0.34,0
SANGER UNIFIED,California,11722,0.18,0.08,23.22,1.07,0.17,0
MENIFEE UNION ELEMENTARY,California,11676,0.09,0.12,24.22,0.985,0.17,0
ALUM ROCK UNION ELEMENTARY,California,11624,0.4,0.14,22.7,0.955,0.35,0
LAS VIRGENES UNIFIED,California,11547,0.08,0.11,24.13,0.962,0.25,0
PITTSBURG UNIFIED,California,11489,0.31,0.11,23.33,0.868,0.38,0
PALOS VERDES PENINSULA UNIFIED,California,11428,0.08,0.08,25.49,1.013,0.24,0
SAN JACINTO UNIFIED,California,11220,0.2,0.13,24.68,0.962,0.17,0
ALAMEDA UNIFIED,California,11201,0.14,0.12,22.15,0.903,0.38,0
CARLSBAD UNIFIED,California,11169,0.07,0.12,25.91,0.993,0.27,0
UPLAND UNIFIED,California,11028,0.1,0.14,23.72,0.923,0.17,0
SANTA MONICA-MALIBU UNIFIED,California,11005,0.08,0.11,22.16,1.037,0.24,0
MERCED CITY ELEMENTARY,California,10902,0.24,0.11,25.64,1.046,0.11,0
FREMONT UNION HIGH,California,10869,0.08,0.1,24.11,1.025,0.3,0
PERRIS UNION HIGH,California,10796,0.19,0.11,25.98,0.978,0.15,0
FRANKLIN-MCKINLEY ELEMENTARY,California,10735,0.36,0.11,24.67,0.964,0.34,0
MONTEREY PENINSULA UNIFIED,California,10732,0.29,0.11,20.02,0.964,0.25,0
DUBLIN UNIFIED,California,10680,0.1,0.08,23.25,1.286,0.33,0
LUCIA MAR UNIFIED,California,10649,0.13,0.14,21.5,1.034,0.25,0
ROSEVILLE CITY ELEMENTARY,California,10554,0.11,0.13,24.35,0.953,0.16,0
MERCED UNION HIGH,California,10377,0.08,0.12,23.74,1.021,0.12,0
OAK GROVE ELEMENTARY,California,10362,0.29,0.13,25.37,1.017,0.37,0
ADELANTO ELEMENTARY,California,10288,0.14,0.16,26.97,1.036,0.17,0
MILPITAS UNIFIED,California,10260,0.25,0.09,23.51,1.254,0.35,0
BONITA UNIFIED,California,10245,0.06,0.1,25.27,1.001,0.24,0
BERKELEY UNIFIED,California,10239,0.09,0.12,19.71,0.982,0.37,0
ROSEVILLE JOINT UNION HIGH,California,10204,0.03,0.07,23.26,0.933,0.15,0
LOMPOC UNIFIED,California,10139,0.23,0.12,21.83,1.015,0.3,0
WOODLAND JOINT UNIFIED,California,10083,0.26,0.14,22.45,0.925,0.19,0
BEAUMONT UNIFIED,California,9975,0.12,0.13,26.34,0.908,0.18,0
YUCAIPA-CALIMESA JOINT UNIFIED,California,9969,0.09,0.13,23.37,0.931,0.16,0
SEQUOIA UNION HIGH,California,9911,0.13,0.11,19.94,1.084,0.37,0
LOS ALAMITOS UNIFIED,California,9904,0.02,0.09,26.22,1.228,0.22,0
KINGS CANYON JOINT UNIFIED,California,9844,0.3,0.08,24.91,1.013,0.16,0
REDONDO BEACH UNIFIED,California,9788,0.05,0.12,25.32,0.99,0.24,0
ESCONDIDO UNION HIGH,California,9578,0.13,0.11,22.39,0.914,0.28,0
ARCADIA UNIFIED,California,9525,0.14,0.07,25.62,1.243,0.21,0
LINCOLN UNIFIED,California,9438,0.15,0.13,23.37,1.035,0.17,0
CASTRO VALLEY UNIFIED,California,9358,0.1,0.09,24.25,0.993,0.34,0
WESTSIDE UNION ELEMENTARY,California,9302,0.07,0.12,27.13,1.089,0.26,0
CALEXICO UNIFIED,California,9252,0.66,0.1,23.59,0.973,0.13,0
MORGAN HILL UNIFIED,California,9137,0.15,0.13,23.13,1.05,0.39,0
SAN MATEO UNION HIGH,California,9104,0.11,0.1,20.43,0.988,0.35,0
EL MONTE UNION HIGH,California,9033,0.2,0.12,21.76,1.004,0.23,0
SALINAS CITY ELEMENTARY,California,9023,0.53,0.11,25.13,1.012,0.24,0
WESTERN PLACER UNIFIED,California,9020,0.07,0.11,20.06,0.988,0.17,0
REDWOOD CITY ELEMENTARY,California,8987,0.33,0.14,23.1,0.76,0.48,0
BRENTWOOD UNION ELEMENTARY,California,8917,0.1,0.14,24.89,0.98,0.33,0
SOUTH SAN FRANCISCO UNIFIED,California,8879,0.25,0.13,22.72,1.289,0.5,0
EAST WHITTIER CITY ELEMENTARY,California,8829,0.13,0.12,24.64,0.98,0.23,0
AZUSA UNIFIED,California,8782,0.27,0.14,22.85,1.019,0.24,0
EL RANCHO UNIFIED,California,8754,0.21,0.12,24.51,0.964,0.25,0
SAN LEANDRO UNIFIED,California,8638,0.29,0.14,23.74,1.258,0.31,0
DAVIS JOINT UNIFIED,California,8582,0.11,0.11,22.37,0.999,0.18,0
MORONGO UNIFIED,California,8466,0.05,0.15,23.66,1.025,0.18,0
SYLVAN UNION ELEMENTARY,California,8399,0.15,0.16,27.08,0.932,0.16,0
HUENEME ELEMENTARY,California,8379,0.48,0.12,24.3,1.074,0.22,0
LIBERTY UNION HIGH,California,8199,0.07,0.14,22.58,1.05,0.35,0
WASHINGTON UNIFIED,California,8083,0.19,0.11,22.4,0.954,0.18,0
NOVATO UNIFIED,California,7869,0.16,0.12,21.14,0.841,0.49,0
SANTA MARIA JOINT UNION HIGH,California,7858,0.24,0.1,23.96,1.079,0.27,0
CAMPBELL UNION HIGH,California,7810,0.08,0.12,22.61,1.011,0.36,0
SAN LUIS COASTAL UNIFIED,California,7718,0.12,0.12,22.54,1.069,0.23,0
SNOWLINE JOINT UNIFIED,California,7648,0.11,0.15,23.04,0.993,0.18,0
GLENDORA UNIFIED,California,7538,0.06,0.15,24.38,0.95,0.23,0
DELANO UNION ELEMENTARY,California,7387,0.48,0.1,23.71,0.993,0.14,0
BERRYESSA UNION ELEMENTARY,California,7296,0.34,0.11,24.17,0.93,0.35,0
HUNTINGTON BEACH CITY ELEMENTARY,California,7155,0.05,0.11,27.42,0.947,0.24,0
CLAREMONT UNIFIED,California,7066,0.06,0.11,24.97,1.017,0.24,0
MOUNTAIN VIEW ELEMENTARY,California,7052,0.58,0.12,23.99,0.999,0.21,0
JEFFERSON ELEMENTARY,California,7039,0.41,0.1,21.91,0.874,0.63,0
CULVER CITY UNIFIED,California,6856,0.11,0.09,23.38,0.967,0.24,0
PASO ROBLES JOINT UNIFIED,California,6814,0.19,0.13,24.88,0.969,0.24,0
MANHATTAN BEACH UNIFIED,California,6776,0.02,0.13,25.66,1.07,0.23,0
DRY CREEK JOINT ELEMENTARY,California,6728,0.17,0.11,22.52,0.939,0.16,0
EL DORADO UNION HIGH,California,6649,0.01,0.13,23.18,1.072,0.16,0
DINUBA UNIFIED,California,6586,0.33,0.07,23.96,0.961,0.13,0
UKIAH UNIFIED,California,6579,0.26,0.12,22.22,1.055,0.19,0
MOORPARK UNIFIED,California,6472,0.16,0.14,22.77,1.012,0.3,0
FOUNTAIN VALLEY ELEMENTARY,California,6387,0.14,0.08,26.67,0.993,0.26,0
LAKESIDE UNION ELEMENTARY,California,6313,0.05,0.13,24.95,1.139,0.29,0
SAN GABRIEL UNIFIED,California,6302,0.24,0.1,21.6,0.998,0.26,0
MAGNOLIA ELEMENTARY,California,6277,0.52,0.1,25.99,1.05,0.25,0
COTATI-ROHNERT PARK UNIFIED,California,6272,0.18,0.12,21.51,1.089,0.35,0
BARSTOW UNIFIED,California,6154,0.11,0.14,25.95,0.867,0.18,0
WHITTIER CITY ELEMENTARY,California,6075,0.19,0.16,24.7,1.047,0.25,0
EL CENTRO ELEMENTARY,California,6049,0.41,0.12,25.55,0.94,0.12,0
LAWNDALE ELEMENTARY,California,6028,0.35,0.12,22.72,0.995,0.22,0
ALTA LOMA ELEMENTARY,California,5988,0.06,0.12,26.33,0.906,0.17,0
PERRIS ELEMENTARY,California,5963,0.5,0.09,24.14,0.982,0.16,0
HANFORD ELEMENTARY,California,5954,0.25,0.11,24.02,0.934,0.15,0
NATIONAL ELEMENTARY,California,5928,0.52,0.11,23.41,1.047,0.28,0
BREA-OLINDA UNIFIED,California,5909,0.1,0.1,26.03,0.737,0.28,0
TEMPLE CITY UNIFIED,California,5884,0.2,0.09,24.09,1.04,0.24,0
NEWARK UNIFIED,California,5845,0.23,0.12,27.2,0.903,0.32,0
UNION ELEMENTARY,California,5751,0.12,0.11,23.9,0.889,0.36,0
SHASTA UNION HIGH,California,5731,0.01,0.09,22.23,1.004,0.15,0
ROSEDALE UNION ELEMENTARY,California,5619,0.05,0.11,22.14,1.012,0.15,0
MONROVIA UNIFIED,California,5616,0.13,0.13,22.94,0.969,0.25,0
TRAVIS UNIFIED,California,5564,0.04,0.12,24.99,0.992,0.22,0
RAMONA CITY UNIFIED,California,5546,0.15,0.15,24.91,1.029,0.3,0
ACALANES UNION HIGH,California,5530,0.02,0.1,20.67,1.009,0.31,0
TULARE JOINT UNION HIGH,California,5486,0.14,0.08,24.05,0.99,0.12,0
SANTA PAULA UNIFIED,California,5454,0.38,0.15,22.46,1.077,0.27,0
ENCINITAS UNION ELEMENTARY,California,5313,0.1,0.13,24.94,0.934,0.27,0
ORCUTT UNION ELEMENTARY,California,5274,0.12,0.11,25.52,1.029,0.3,0
WINDSOR UNIFIED,California,5225,0.19,0.16,21.29,0.925,0.35,0
