District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio, Affordability ,Strike
BUCKEYE UNION ELEMENTARY,California,5216,0.03,0.13,24.11,1.043,0.17,0
RIO ELEMENTARY,California,5142,0.48,0.12,23.2,1.062,0.27,0
KERMAN UNIFIED,California,5134,0.37,0.11,24.56,0.96,0.16,0
SIERRA SANDS UNIFIED,California,5020,0.08,0.13,22.67,0.939,0.17,0
OAKLEY UNION ELEMENTARY,California,5015,0.15,0.15,22.61,0.975,0.38,0
FALLBROOK UNION ELEMENTARY,California,5006,0.32,0.16,24.07,0.996,0.28,0
ATWATER ELEMENTARY,California,4964,0.29,0.12,28.98,0.936,0.12,0
SAN LORENZO VALLEY UNIFIED,California,4921,0.01,0.11,24.31,0.838,0.34,0
CHARTER OAK UNIFIED,California,4896,0.1,0.14,23.99,1.05,0.23,0
JEFFERSON UNION HIGH,California,4862,0.13,0.11,22.48,1.15,0.54,0
BENICIA UNIFIED,California,4856,0.03,0.1,22.83,0.937,0.21,0
SOLEDAD UNIFIED,California,4856,0.42,0.13,24.85,1,0.24,0
BUENA PARK ELEMENTARY,California,4837,0.4,0.11,24.72,1.077,0.25,0
SAN YSIDRO ELEMENTARY,California,4815,0.63,0.13,25.5,1.042,0.27,0
GARVEY ELEMENTARY,California,4805,0.42,0.11,23.92,0.956,0.23,0
SOUTH PASADENA UNIFIED,California,4779,0.07,0.08,23.95,0.996,0.24,0
SAN RAFAEL CITY ELEMENTARY,California,4758,0.51,0.11,27.33,0.757,0.48,0
LA HABRA CITY ELEMENTARY,California,4726,0.33,0.13,25.8,1.017,0.25,0
TAMALPAIS UNION HIGH,California,4693,0.02,0.11,18.16,0.938,0.37,0
BURTON ELEMENTARY,California,4681,0.24,0.07,23.62,0.994,0.14,0
ATASCADERO UNIFIED,California,4636,0.08,0.12,23.39,1.223,0.25,0
NORTH MONTEREY COUNTY UNIFIED,California,4613,0.43,0.11,23.66,0.97,0.23,0
NEW JERUSALEM ELEMENTARY,California,4588,0.04,0.1,20.37,1.105,0.19,0
OAK PARK UNIFIED,California,4584,0.05,0.08,23.86,1.149,0.24,0
SONOMA VALLEY UNIFIED,California,4564,0.32,0.15,20.31,1.025,0.34,0
BANNING UNIFIED,California,4541,0.18,0.13,22.65,0.933,0.19,0
CENTRAL ELEMENTARY,California,4539,0.12,0.14,24.36,1.028,0.19,0
LOS ALTOS ELEMENTARY,California,4527,0.13,0.09,22.25,0.953,0.35,0
CENTER JOINT UNIFIED,California,4477,0.17,0.16,23.67,0.939,0.17,0
LITTLE LAKE CITY ELEMENTARY,California,4454,0.18,0.11,22.81,1.109,0.26,0
CENTRALIA ELEMENTARY,California,4417,0.34,0.13,25.83,1.009,0.25,0
DEL MAR UNION ELEMENTARY,California,4413,0.1,0.16,22.62,0.928,0.25,0
TEHACHAPI UNIFIED,California,4396,0.07,0.13,27.94,0.927,0.17,0
PARADISE UNIFIED,California,4258,0.02,0.14,21.36,0.969,0.18,0
DELANO JOINT UNION HIGH,California,4224,0.29,0.09,22.62,0.974,0.15,0
RIPON UNIFIED,California,4219,0.09,0.11,26.02,1.203,0.17,0
LOOMIS UNION ELEMENTARY,California,4193,0.02,0.07,22.92,0.889,0.18,0
LINDSAY UNIFIED,California,4191,0.52,0.07,23.79,1.024,0.13,0
TAHOE-TRUCKEE UNIFIED,California,4153,0.17,0.12,20.15,0.932,0.16,0
MARTINEZ UNIFIED,California,4143,0.08,0.11,22.01,1.058,0.39,0
LA CANADA UNIFIED,California,4132,0.05,0.08,24.05,0.981,0.23,0
CUTLER-OROSI JOINT UNIFIED,California,4126,0.45,0.06,22.66,0.918,0.14,0
IMPERIAL UNIFIED,California,4122,0.23,0.11,24.84,1.018,0.12,0
CENTRAL UNION HIGH,California,4119,0.25,0.1,23.46,0.888,0.12,0
PLACER UNION HIGH,California,4074,0.02,0.09,22.8,0.896,0.17,0
VALLEY CENTER-PAUMA UNIFIED,California,4069,0.24,0.14,22.88,1.003,0.27,0
BEVERLY HILLS UNIFIED,California,4023,0.06,0.13,17.01,1.354,0.22,0
BRAWLEY ELEMENTARY,California,3992,0.33,0.13,24.49,1.144,0.11,0
WATERFORD UNIFIED,California,3989,0.14,0.11,22.85,0.973,0.16,0
CYPRESS ELEMENTARY,California,3969,0.15,0.1,26.95,0.993,0.26,0
LAKE TAHOE UNIFIED,California,3951,0.26,0.13,20.36,1,0.18,0
AMADOR COUNTY UNIFIED,California,3864,0.02,0.17,22.89,1.059,0.18,0
RAVENSWOOD CITY ELEMENTARY,California,3853,0.51,0.14,21.52,0.895,0.54,0
ROMOLAND ELEMENTARY,California,3832,0.22,0.13,24.68,1.084,0.16,0
HANFORD JOINT UNION HIGH,California,3799,0.09,0.12,23.51,0.853,0.15,0
ENTERPRISE ELEMENTARY,California,3786,0.09,0.14,23.63,0.977,0.15,0
FILLMORE UNIFIED,California,3757,0.3,0.16,22.9,0.918,0.29,0
DUARTE UNIFIED,California,3733,0.27,0.15,22.39,1.022,0.26,0
RESCUE UNION ELEMENTARY,California,3720,0.05,0.13,23.37,1.049,0.17,0
ALBANY CITY UNIFIED,California,3702,0.18,0.08,21.68,1.036,0.37,0
BASSETT UNIFIED,California,3689,0.3,0.15,23.54,1.093,0.25,0
DEL NORTE COUNTY UNIFIED,California,3679,0.08,0.18,22.93,1.044,0.16,0
DIXON UNIFIED,California,3663,0.21,0.14,28.27,0.982,0.24,0
GALT JOINT UNION ELEMENTARY,California,3616,0.22,0.16,20.19,0.96,0.17,0
LAFAYETTE ELEMENTARY,California,3615,0.02,0.1,24.18,1.009,0.36,0
WASCO UNION ELEMENTARY,California,3610,0.41,0.08,22.42,0.953,0.16,0
WALNUT CREEK ELEMENTARY,California,3589,0.1,0.11,22.42,0.913,0.36,0
GOLETA UNION ELEMENTARY,California,3571,0.3,0.1,20.12,0.978,0.26,0
MCFARLAND UNIFIED,California,3570,0.42,0.08,24.14,1.219,0.15,0
RINCON VALLEY UNION ELEMENTARY,California,3552,0.12,0.12,21.5,0.963,0.32,0
RIM OF THE WORLD UNIFIED,California,3521,0.11,0.12,23.56,0.936,0.2,0
SANTA RITA UNION ELEMENTARY,California,3519,0.41,0.1,25.08,0.937,0.24,0
SAN CARLOS ELEMENTARY,California,3516,0.09,0.09,21.1,1.183,0.46,0
EL SEGUNDO UNIFIED,California,3469,0.04,0.07,24.62,0.893,0.24,0
RICHLAND UNION ELEMENTARY,California,3466,0.45,0.11,21.23,0.947,0.15,0
STANISLAUS UNION ELEMENTARY,California,3458,0.23,0.11,25.1,0.985,0.15,0
PARLIER UNIFIED,California,3435,0.52,0.1,24.62,1.069,0.17,0
BURLINGAME ELEMENTARY,California,3410,0.18,0.09,22.49,0.962,0.48,0
SOUTHERN KERN UNIFIED,California,3406,0.17,0.15,22.25,1.133,0.17,0
KONOCTI UNIFIED,California,3365,0.21,0.13,22.87,1.009,0.18,0
MENDOTA UNIFIED,California,3339,0.66,0.06,23.18,0.895,0.17,0
CORCORAN JOINT UNIFIED,California,3334,0.28,0.11,23.15,1.034,0.15,0
SALIDA UNION ELEMENTARY,California,3282,0.25,0.11,24.94,0.912,0.15,0
LOS GATOS UNION ELEMENTARY,California,3263,0.03,0.08,22.57,0.933,0.3,0
LEMOORE UNION ELEMENTARY,California,3249,0.18,0.1,22.25,1.018,0.16,0
REDDING ELEMENTARY,California,3219,0.03,0.14,22.74,1.025,0.16,0
FRUITVALE ELEMENTARY,California,3211,0.05,0.1,25.86,0.968,0.15,0
STANDARD ELEMENTARY,California,3130,0.06,0.12,22.28,1.215,0.16,0
MILL VALLEY ELEMENTARY,California,3128,0.03,0.11,20.77,0.94,0.43,0
PALO VERDE UNIFIED,California,3096,0.12,0.11,24.63,0.951,0.18,0
LAMONT ELEMENTARY,California,3075,0.62,0.08,26.61,1.042,0.15,0
SAN MARINO UNIFIED,California,3074,0.12,0.08,20.49,1.063,0.24,0
CORONADO UNIFIED,California,3064,0.03,0.12,23.57,0.918,0.3,0
SAN BENITO HIGH,California,3043,0.14,0.11,28.47,1.049,0.39,0
EMPIRE UNION ELEMENTARY,California,3025,0.27,0.15,24.69,0.879,0.16,0
LAGUNA BEACH UNIFIED,California,3025,0.04,0.12,21.76,0.963,0.21,0
SOLANA BEACH ELEMENTARY,California,3012,0.13,0.11,22.13,1.04,0.25,0
NEWMAN-CROWS LANDING UNIFIED,California,3003,0.36,0.1,22.18,0.987,0.17,0
MENLO PARK CITY ELEMENTARY,California,2999,0.08,0.09,18.5,1.015,0.35,0
WASHINGTON UNIFIED,California,2998,0.4,0.1,21.09,1.335,0.18,0
CALAVERAS UNIFIED,California,2933,0.02,0.2,23.13,1.043,0.15,0
SOUTH WHITTIER ELEMENTARY,California,2918,0.45,0.16,23.14,0.978,0.24,0
ESCALON UNIFIED,California,2895,0.21,0.1,22.88,1.189,0.16,0
RIVERBANK UNIFIED,California,2875,0.43,0.1,22.18,0.919,0.17,0
NEVADA JOINT UNION HIGH,California,2862,0.02,0.14,20.32,0.804,0.2,0
BONSALL UNIFIED,CALIFORNIA,2859,0.14,0.13,20.52,0.774,0.31,0
GATEWAY UNIFIED,California,2801,0.02,0.16,20.33,0.942,0.16,0
MOUNTAIN EMPIRE UNIFIED,California,2784,0.19,0.14,17.12,0.932,0.35,0
MOJAVE UNIFIED,California,2735,0.14,0.16,20.23,0.948,0.15,0
OROVILLE CITY ELEMENTARY,California,2696,0.06,0.18,23.69,0.969,0.15,0
HELENDALE ELEMENTARY,California,2669,0.02,0.11,23.06,0.949,0.2,0
SAN BRUNO PARK ELEMENTARY,California,2669,0.32,0.12,26.88,1.034,0.53,0
REEF-SUNSET UNIFIED,California,2650,0.56,0.1,24.77,0.93,0.16,0
DELHI UNIFIED,California,2644,0.43,0.12,20.18,1.156,0.12,0
LUCERNE VALLEY UNIFIED,California,2638,0.03,0.1,22.59,0.793,0.19,0
FOWLER UNIFIED,California,2562,0.24,0.1,22.52,1.051,0.16,0
FARMERSVILLE UNIFIED,California,2561,0.4,0.05,23.85,1.002,0.14,0
MOUNTAIN VIEW ELEMENTARY,California,2558,0.17,0.13,26.01,0.809,0.21,0
ORINDA UNION ELEMENTARY,California,2542,0.02,0.09,20.5,1.056,0.37,0
OJAI UNIFIED,California,2537,0.13,0.17,22.41,0.943,0.32,0
BEAR VALLEY UNIFIED,California,2523,0.14,0.14,23.39,0.805,0.18,0
SAN RAFAEL CITY HIGH,California,2519,0.21,0.12,23.5,0.941,0.38,0
CUCAMONGA ELEMENTARY,California,2516,0.22,0.15,22.45,0.94,0.17,0
ROSEMEAD ELEMENTARY,California,2511,0.42,0.11,21.76,1.048,0.22,0
CARMEL UNIFIED,California,2509,0.06,0.08,17.46,0.963,0.16,0
SCOTTS VALLEY UNIFIED,California,2505,0.02,0.1,22.66,0.971,0.37,0
MILLBRAE ELEMENTARY,California,2432,0.26,0.1,26.54,1.003,0.47,0
GONZALES UNIFIED,California,2424,0.47,0.1,22.54,0.89,0.23,0
HILMAR UNIFIED,California,2403,0.23,0.1,21.51,0.979,0.13,0
TEMPLETON UNIFIED,California,2388,0.05,0.07,22.32,1.198,0.25,0
RIVER DELTA JOINT UNIFIED,California,2350,0.26,0.13,23.69,0.832,0.28,0
SAVANNA ELEMENTARY,California,2331,0.42,0.14,23.31,1.154,0.26,0
JEFFERSON ELEMENTARY,California,2317,0.18,0.09,21.75,1.713,0.63,0
FIREBAUGH-LAS DELTAS UNIFIED,California,2290,0.37,0.09,21.45,1.041,0.16,0
FALLBROOK UNION HIGH,California,2264,0.13,0.13,20.9,0.943,0.28,0
NEWCASTLE ELEMENTARY,California,2257,0.01,0.09,21.96,1.002,0.18,0
BYRON UNION ELEMENTARY,California,2234,0.05,0.14,21.34,0.979,0.35,0
ROSS VALLEY ELEMENTARY,California,2233,0.03,0.1,20.7,0.916,0.5,0
LINDEN UNIFIED,California,2214,0.23,0.15,22.09,0.953,0.17,0
CHOWCHILLA ELEMENTARY,California,2203,0.29,0.1,23.36,0.927,0.16,0
ORLAND JOINT UNIFIED,California,2201,0.26,0.15,20.69,0.952,0.15,0
WOODLAKE UNIFIED,California,2192,0.31,0.07,20.65,1.008,0.15,0
GALT JOINT UNION HIGH,California,2191,0.07,0.13,21.38,0.983,0.16,0
YOSEMITE UNIFIED,California,2188,0.01,0.15,21.12,0.99,0.18,0
LEMOORE UNION HIGH,California,2184,0.08,0.13,20.23,0.9,0.15,0
SILVER VALLEY UNIFIED,California,2168,0.07,0.14,17.91,1.251,0.2,0
OROVILLE UNION HIGH,California,2162,0.04,0.13,21.1,0.905,0.16,0
PLUMAS UNIFIED,California,2133,0.04,0.13,20.51,1.051,0.18,0
CORNING UNION ELEMENTARY,California,2113,0.43,0.13,23.21,0.982,0.15,0
HUGHSON UNIFIED,California,2088,0.24,0.11,22.72,0.939,0.15,0
PACIFIC GROVE UNIFIED,California,2078,0.06,0.11,23.89,0.99,0.18,0
LIVE OAK ELEMENTARY,California,2069,0.31,0.13,22.84,0.911,0.33,0
AUBURN UNION ELEMENTARY,California,2035,0.16,0.13,24.05,1.067,0.19,0
GRIDLEY UNIFIED,California,2021,0.17,0.12,22.4,1.014,0.16,0
DIXIE ELEMENTARY,California,1982,0.1,0.14,21,1.042,0.45,0
EARLIMART ELEMENTARY,California,1939,0.77,0.04,22.36,1.077,0.14,0
SARATOGA UNION ELEMENTARY,California,1906,0.06,0.12,19.71,0.913,0.3,0
MORAGA ELEMENTARY,California,1898,0.02,0.1,22.11,0.983,0.37,0
FORT BRAGG UNIFIED,California,1891,0.18,0.1,18.54,1.13,0.22,0
BISHOP UNIFIED,California,1890,0.16,0.09,21.67,0.992,0.15,0
GUSTINE UNIFIED,California,1890,0.34,0.13,22.23,1.015,0.13,0
WILLITS UNIFIED,California,1884,0.12,0.13,19.97,0.909,0.22,0
MUROC JOINT UNIFIED,California,1881,0.03,0.11,20.49,0.942,0.17,0
GOLDEN VALLEY UNIFIED,California,1875,0.05,0.12,20.62,0.948,0.18,0
BRAWLEY UNION HIGH,California,1846,0.23,0.11,24.19,0.959,0.11,0
MARIPOSA COUNTY UNIFIED,California,1844,0.03,0.14,18.85,0.986,0.17,0
ANDERSON UNION HIGH,California,1812,0.03,0.1,22,1.017,0.15,0
BEARDSLEY ELEMENTARY,California,1810,0.09,0.14,21.81,0.918,0.17,0
CENTRAL UNION ELEMENTARY,California,1777,0.11,0.09,19.45,1.021,0.13,0
ALPINE UNION ELEMENTARY,California,1745,0.05,0.13,23.48,0.874,0.3,0
GRASS VALLEY ELEMENTARY,California,1736,0.08,0.16,20.92,1.016,0.2,0
JOHN SWETT UNIFIED,California,1714,0.16,0.15,20.85,1.018,0.41,0
GOLDEN PLAINS UNIFIED,California,1709,0.57,0.09,23.6,0.978,0.18,0
MIDDLETOWN UNIFIED,California,1680,0.07,0.13,22.1,1.313,0.19,0
RIVERDALE JOINT UNIFIED,California,1631,0.36,0.1,20.45,0.896,0.16,0
HEALDSBURG UNIFIED,California,1611,0.27,0.12,18.72,1.405,0.33,0
HOLTVILLE UNIFIED,California,1598,0.44,0.09,21.1,0.93,0.14,0
WRIGHT ELEMENTARY,California,1593,0.46,0.15,23.46,1.042,0.32,0
WINTERS JOINT UNIFIED,California,1555,0.36,0.14,21.92,0.95,0.19,0
ARMONA UNION ELEMENTARY,California,1542,0.22,0.12,18.92,0.933,0.15,0
LAKEPORT UNIFIED,California,1534,0.08,0.14,22.08,1.011,0.17,0
REED UNION ELEMENTARY,California,1530,0.03,0.07,20.64,0.92,0.41,0
LARKSPUR-CORTE MADERA,California,1523,0.03,0.11,20.94,1.441,0.43,0
THERMALITO UNION ELEMENTARY,California,1493,0.18,0.11,23.17,0.98,0.15,0
HILLSBOROUGH CITY ELEMENTARY,California,1483,0.01,0.11,17.28,1.029,0.35,0
PIERCE JOINT UNIFIED,California,1480,0.33,0.11,22.66,0.918,0.18,0
COLUSA UNIFIED,California,1479,0.32,0.14,20.88,1.008,0.14,0
MARK WEST UNION ELEMENTARY,California,1475,0.12,0.1,22.87,0.871,0.3,0
CARUTHERS UNIFIED,California,1442,0.26,0.1,20.2,1.216,0.17,0
WILLOWS UNIFIED,California,1424,0.26,0.15,22.78,1.02,0.12,0
PINER-OLIVET UNION ELEMENTARY,California,1422,0.24,0.1,23.33,0.951,0.3,0
CLOVERDALE UNIFIED,California,1418,0.31,0.15,19.93,1.159,0.32,0
MCCABE UNION ELEMENTARY,California,1389,0.18,0.07,24.8,0.875,0.14,0
LAS LOMITAS ELEMENTARY,California,1386,0.07,0.11,19.31,0.861,0.35,0
WILLIAMS UNIFIED,California,1382,0.49,0.11,22.04,1.005,0.15,0
FORTUNA ELEMENTARY,California,1377,0.2,0.23,19.58,0.969,0.19,0
COLUMBIA ELEMENTARY,California,1363,0.01,0.11,21.61,0.907,0.17,0
SIERRA UNIFIED,California,1323,0.01,0.13,20.29,0.934,0.17,0
WILSONA ELEMENTARY,California,1315,0.3,0.14,23.76,0.909,0.26,0
DENAIR UNIFIED,California,1309,0.15,0.12,22.5,0.819,0.21,0
PLACERVILLE UNION ELEMENTARY,California,1293,0.15,0.14,22.84,0.987,0.2,0
GUADALUPE UNION ELEMENTARY,California,1280,0.56,0.09,22.86,1.047,0.28,0
BLOCHMAN UNION ELEMENTARY,California,1277,0.02,0.08,17.87,0.776,0.4,0
MESA UNION ELEMENTARY,California,1276,0.09,0.08,26.14,0.751,0.29,0
KENTFIELD ELEMENTARY,California,1257,0.06,0.1,18.22,0.951,0.44,0
BLACK OAK MINE UNIFIED,California,1253,0.01,0.16,23.38,1.061,0.21,0
TWIN HILLS UNION ELEMENTARY,California,1252,0.03,0.08,21.85,0.966,0.36,0
PALERMO UNION ELEMENTARY,California,1246,0.13,0.13,20.39,0.939,0.17,0
HEBER ELEMENTARY,California,1245,0.52,0.11,21.75,0.927,0.14,0
FALL RIVER JOINT UNIFIED,California,1232,0.09,0.16,19.2,0.951,0.18,0
MAMMOTH UNIFIED,California,1213,0.19,0.08,19.55,1.023,0.2,0
HART-RANSOM UNION ELEMENTARY,California,1189,0.09,0.07,21.78,0.891,0.15,0
WESTSIDE ELEMENTARY,California,1181,0.17,0.09,21.33,0.939,0.21,0
KINGSBURG JOINT UNION HIGH,California,1160,0.06,0.09,19.89,0.862,0.14,0
OAK GROVE UNION ELEMENTARY,California,1139,0.06,0.05,16.99,1.004,0.32,0
LIBERTY ELEMENTARY,California,1123,0.03,0.1,20.35,0.69,0.3,0
PIXLEY UNION ELEMENTARY,California,1106,0.6,0.08,22.34,1.074,0.15,0
FORTUNA UNION HIGH,California,1105,0.07,0.16,21.48,1.193,0.18,0
SUSANVILLE ELEMENTARY,California,1096,0.06,0.12,23.55,0.96,0.17,0
COTTONWOOD UNION ELEMENTARY,California,1091,0.03,0.1,21.78,0.9,0.16,0
MOTHER LODE UNION ELEMENTARY,California,1085,0.16,0.19,22.52,1.022,0.2,0
CASCADE UNION ELEMENTARY,California,1080,0.13,0.15,20.77,1.068,0.17,0
CHOWCHILLA UNION HIGH,California,1073,0.09,0.08,21.74,0.985,0.17,0
SONORA UNION HIGH,California,1068,0.01,0.15,22.49,1.281,0.16,0
EDISON ELEMENTARY,California,1059,0.28,0.08,23.53,1.015,0.17,0
TAFT UNION HIGH,California,1034,0.07,0.11,14.07,0.714,0.12,0
HOPE ELEMENTARY,California,1010,0.15,0.12,22.2,1.328,0.27,0
